context	tgt_term_gold	tgt_term_hyponym	tgt_term_hypernym	tgt_term_co-hyponym
Der Statistikinspektor/die Statistikinspektorin konzipiert, plant und organisiert statistische Untersuchungen und wertet statistische Informationen aus und interpretiert sie.	Inspektor für Statistik,Statistikinspektor			Statistikassistent,Statistiker,Statistiksachbearbeiter
Der Übersetzer/die Übersetzerin erstellt nach allgemeinen Anweisungen des/der Vorgesetzten selbstständig und eigenverantwortlich Übersetzungen von Rechts-, Verwaltungs- und anderen Fachtexten.	Übersetzer			Übersetzungsinspektor
Der DV-Analytiker-Systembetreuer/die DV-Analytikerin-Systembetreuerin untersucht gemeinsam mit dem Benutzer/der Benutzerin die Probleme von DV-Anwendungen und entwirft dafür Lösungen unter Berücksichtigung der betrieblichen Anforderungen.	DV-Analytiker,DV-Analytiker-Systembetreuer			DV-Operator,DV-Techniker,DV-Techniker-Analytiker,EDV-Operator
Der Betriebsarzt übt die eigene Tätigkeit in folgender Form aus: a) als Beschäftigter oder Mitarbeiter einer externen öffentlichen oder privaten Struktur, die mit dem Unternehmer konventioniert ist; b) als Freiberufler; .	Freiberufler		Selbstständiger	
Das Amt eines Landtags- bzw. Regionalratsabgeordneten ist mit dem Amt eines Mitgliedes einer der Parlamentskammern, eines anderen Regionalrates oder des Europäischen Parlaments unvereinbar.	Regionalratsabgeordneter			Gemeinderat,Gemeinderatsmitglied,Landtagsabgeordneter,Provinzialrat
Die Konferenz der Regionen und Autonomen Provinzen setzt sich aus den zwanzig Präsidenten der italienischen Regionen sowie den beiden Landeshauptleuten der Autonomen Provinzen Bozen und Trient zusammen. Mit entsprechender Vollmacht können an den Sitzungen auch Regionalassessoren bzw. Landesräte teilnehmen.	Mitglied der Regionalregierung,Regionalassessor		Assessor,Referent	Gemeindeassessor,Gemeindereferent,Landesassessor,Landesrat,Provinzassessor,Stadtrat
Der Präsident des Regionalausschusses wird, sofern das Regionalstatut nichts anderes festlegt, in allgemeiner und direkter Wahl gewählt.	Regionalstatut		Satzung,Statut	
Gemeinden, Provinzen, Großstädte mit besonderem Status und Regionen sind autonome Körperschaften mit eigenen Statuten, Befugnissen und Aufgaben gemäß den in der Verfassung verankerten Grundsätzen.	Gemeinde		Lokalkörperschaft,lokale öffentliche Körperschaft,örtliche Körperschaft	
Der Gemeindeausschuss besteht aus dem Bürgermeister als Vorsitzendem und aus den Gemeindereferenten, deren Anzahl in der Satzung  bestimmt ist.	Gemeindeassessor,Gemeindereferent,Stadtrat		Assessor,Referent	Landesassessor,Landesrat,Mitglied der Regionalregierung,Provinzassessor,Regionalassessor
Die Unterschrift muss von einer der folgenden  Personen beglaubigt werden: Notare, Friedensrichter, , Bürgermeister, Gemeindeassessoren und Landesräte, Präsidenten der Gemeinderäte und Landtage, Präsidenten und Vizepräsidenten der Stadtviertelräte, Gemeindesekretäre und Sekretäre der Provinzen, .	Gemeindeassessor,Gemeindereferent,Stadtrat		Assessor,Referent	Landesassessor,Landesrat,Mitglied der Regionalregierung,Provinzassessor,Regionalassessor
Mit Bewilligung des Landesschulrates können schulpflichtige Kinder österreichischer Staatsbürgerschaft die allgemeine Schulpflicht auch durch den Besuch von im Ausland gelegenen Schulen erfüllen.	allgemeine Schulpflicht	Grundschule,Volksschule		
Über Arbeitnehmer und Arbeitnehmerinnen, Selbstständige, scheinbar tätige sowie scheinbar selbstständige Personen, die von Prüfungen  des Schwarzarbeitsbekämpfungsgesetzes betroffen sind, können im zentralen Informationssystem für die Finanzkontrolle Schwarzarbeit  personenbezogene Daten gespeichert werden, sofern dies zur Aufgabenerfüllung erforderlich ist.	Selbstständiger	Freelancer,Freiberufler,Handwerker		
Die Entschädigung für Selbstständigerwerbende wird aufgrund des auf den Tag umgerechneten Erwerbseinkommens berechnet, das für den letzten vor dem Einrücken verfügten AHV-Beitrag Alters- und Hinterlassenenvorsorge-Beitrag massgebend war.	Selbstständigerwerbender	Handwerker		
Die Kosten für Verkehrsunfälle werden abzogen, weil sie im Kontext einer nachhaltigen Entwicklung gesellschaftlicher Wohlfahrt in keinem Fall als förderlich anzusehen sind. Dies gilt selbstverständlich für sämtliche Unfallarten wie etwa Arbeits-, Sport- oder Haushaltsunfälle.	Haushaltsunfall		Unfall	
Die Meldebehörde hat auf Grund der im Melderegister enthaltenen Meldedaten auf Antrag zu bestätigen, dass, seit wann und wo der Antragsteller oder ein Mensch, für den ihn die Meldepflicht trifft, angemeldet ist (Meldebestätigung).	Meldebestätigung		Bescheinigung	
Eine Meldebescheinigung beinhaltet lediglich, wer, wo gemeldet ist. Einzelheiten wie zum Beispiel Konfession oder Familienstand werden nicht aufgeführt.	Meldebescheinigung		Bescheinigung	
Das Zulassungsgesuch ist auf Stempelpapier abzufassen und innerhalb des jährlich neu festgelegten Termins dem Landesrat für Gesundheitswesen zu übermitteln. Dem Gesuch müssen folgende Unterlagen beigefügt werden:  Staatsbürgerschaftsbescheinigung .	Staatsbürgerschaftsbescheinigung,Staatsbürgerschaftsnachweis		meldeamtliche Bescheinigung	
Aufgabe der Unfallversicherung ist es,  mit allen geeigneten Mitteln Arbeitsunfälle und Berufskrankheiten sowie arbeitsbedingte Gesundheitsgefahren zu verhüten, .	Arbeitsunfall	Dienstwegeunfall,Wegeunfall	Unfall	
Übergangsbestimmungen sollen, ihrer Bezeichnung entsprechend, den Wechsel vom alten zum neuen Recht sicherstellen.	Übergangsbestimmung		Anordnung,Bestimmung,Verfügung	
Der Richter berücksichtigt  die Lösung gemäss Verwaltungsweisung, wenn sie eine überzeugende Interpretation des Gesetzes durch die Aufsichtsbehörde zum Zwecke der rechtsgleichen Anwendung des Gesetzes darstellt.	Auslegung,Interpretation	ausdehnende Auslegung,ausdehnende Interpretation,einschränkende Auslegung,einschränkende Interpretation,extensive Auslegung,extensive Interpretation,grammatikalische Auslegung,grammatikalische Interpretation,historische Auslegung,restriktive Auslegung,restriktive Interpretation,systematische Auslegung,teleologische Auslegung,teleologische Interpretation,wörtliche Auslegung		
Die Primarschule wird in die Unterstufe und Mittelstufe unterteilt. Die Unterstufe dauert von der 1. bis zur 3. Klasse. Die Mittelstufe dauert von der 4. bis zur 6. Klasse und endet mit dem Übertritt in die Sekundarstufe 1.	Primarschule		Schulpflicht	
Die Verstöße  haben  als zusätzliche Verwaltungsstrafe die Aussetzung des Fahrzeugscheins für die Dauer von einem bis zu sechs Monaten zur Folge. Bei Rückfall liegt die Dauer der Aussetzung zwischen sechs und zwölf Monaten.	Rückfall	einfacher Rückfall,erschwerter Rückfall,wiederholter Rückfall		
Das Pfand haftet für die Forderung in deren jeweiligem Bestand, insbesondere auch für Zinsen und Vertragsstrafen.	Pfand,Pfandrecht,Verpfändung		Recht auf Sicherstellung	
Wenn das Pfandrecht vor dem Inkrafttreten des Gesetzbuches entstanden ist, werden die Voraussetzungen für die Wirksamkeit des Vorrechtes durch die früheren Gesetze bestimmt.	Pfand,Pfandrecht,Verpfändung		Recht auf Sicherstellung	
Die öffentlichen Archive haben die Aufgabe, das öffentliche Archivgut festzustellen, zu erfassen, zu übernehmen, auf Dauer zu verwahren, zu sichern und zu erhalten, zu erschließen, allgemein nutzbar zu machen, für die Benutzung bereitzustellen und auszuwerten.	öffentliches Archiv		Archiv,Endarchiv	Privatarchiv,privates Archiv
Die Verwaltung kann sich im Verfahren durch eine Führungskraft oder einen eigens dazu delegierten Beamten vertreten lassen.	Führungskraft,leitender Angestellter	Amtsleiter,Leiter,leitender Beamter	Arbeitnehmer,unselbstständig Erwerbstätiger	
Für eine unselbstständige Tätigkeit spricht vorliegend einerseits der Umstand, dass der Beschwerdeführer kein eigentliches Betriebsrisiko trägt, hat er doch nur geringe Investitionen tätigen müssen und fallen bei ausbleibenden Kunden, mit Ausnahme der Zahlungen an B., keine grösseren Fixkosten an.	unselbstständige Erwerbstätigkeit,unselbstständige Tätigkeit	Haushaltarbeit,Heimarbeit	Arbeit,Arbeitstätigkeit,Erwerbstätigkeit	selbstständige Berufstätigkeit,selbstständige Erwerbstätigkeit,selbstständige Tätigkeit
Eingriffsverwaltung ist immer hoheitliche Verwaltung, weshalb sie auch seit jeher in einem besonderen Naheverhältnis zum Legalitätsprinzip steht. Umgekehrt ist jedoch nicht jedes hoheitliche Verwaltungshandeln der Eingriffsverwaltung zuzuzählen (z.B. hoheitliche Vergabe von Subventionen).	Subvention		Bescheid	
Der Bonus Steuerbonus - EX-Bonus-Renzi steht  nur mehr dann zu, wenn die Summe der steuerlichen Absatzbeträge höher ist, als die zu zahlende IRPEF.	Einkommenssteuer der natürlichen Personen,Einkommensteuer der natürlichen Personen,IRPEF,Steuer auf das Einkommen der natürlichen Personen		Einkommenssteuer,Einkommensteuer	Einkommenssteuer der juristischen Personen,Einkommensteuer der juristischen Personen,IRES,Körperschaftssteuer,Körperschaftsteuer
"Das Landesgesetz vom 22. Oktober 1993, Nr. 17 ""Regelung des Verwaltungsverfahrens und des Rechts auf Zugang zu Verwaltungsunterlagen"" enthält Bestimmungen zu Eigenerklärungen und Verwaltungsunterlagen."	Eigenerklärung	Eigenbescheinigung,Erklärung zum Ersatz einer Bescheinigung,Erklärung zum Ersatz einer beeideten Bezeugungsurkunde,Ersatzerklärung des Notorietätsaktes,Ersatzerklärung einer beeideten Bezeugungsurkunde,Selbstbescheinigung,Selbsterklärung,eigenverantwortete Bescheinigung,eigenverantwortliche Erklärung	Ersatzerklärung	
Dem Gebot der Effizienz staatlichen Handelns wird z. T. Verfassungsrang zuerkannt. . Die Verwaltung muss ihre Aufgaben möglichst effizient wahrnehmen.	Effizienz			Effektivität,Rechtswirksamkeit,Wirksamkeit
Den Vorsitz in der Dienststellenkonferenz kann mit entsprechender Vollmacht des Landeshauptmanns oder des Landesrates der zuständige Ressort- oder Abteilungsleiter führen.	Dienststellenkonferenz,Konferenz der Dienststellen	Dienststellenkonferenz mit Entscheidungsbefugnissen,vorbereitende Dienststellenkonferenz		
Die für Jahresaufträge und Ersatzaufträge verfügbaren Stellen werden in der Reihenfolge der entsprechenden Rangordnung durch Stellenwahl vergeben. Stellenverlierer mit unbefristetem Auftrag haben auf jeden Fall Vorrang. Mangels Bewerber oder Bewerberinnen in der Rangordnung ist eine Direktberufung möglich.	Direktaufnahme,Direktberufung,direkte Berufung		Aufnahme,Einnahme,Einstellung	Aufnahme durch Wettbewerb,Einstellung mittels Wettbewerb
In Anbetracht der Ziele des öffentlichen Interesses ist das Recht auf Zugang ein allgemeiner Grundsatz der Verwaltungstätigkeit zur Unterstützung der Beteiligung und zur Gewährleistung der Unparteilichkeit und Transparenz.	Recht auf Zugang,Recht auf Zugang zu den Verwaltungsunterlagen,Zugangsrecht zu den Verwaltungsunterlagen		Zugangsrecht,Zutrittsrecht	
Zur Verwirklichung der  Ziele hält sich das Land in der Verwaltungstätigkeit an die Kriterien der Effizienz  der Publizität.	Publizität,Öffentlichkeit			Effektivität,Rechtswirksamkeit,Transparenz der Verwaltungstätigkeit,Wirksamkeit,Wirtschaftlichkeit,Zügigkeit
Gesetze der Republik regeln den durch die Neuordnung erforderlichen Übergang der Beamten und Angestellten des Staates, auch jener der Zentralverwaltung, an die Regionen.	Zentralverwaltung		Staatsverwaltung	Außenverwaltung
Zur Bildung ihrer Ämter müssen die Regionen, außer in Fällen der Notwendigkeit, das Dienstpersonal aus jenem des Staates und der Lokalkörperschaften beziehen.	Lokalkörperschaft,lokale öffentliche Körperschaft,örtliche Körperschaft	Berggemeinschaft,Gemeinde,Großstadt mit Sonderstatus,Großstadt mit besonderem Status,Land,Provinz	Gebietskörperschaft	
Die Kontrollen  werden von den Bediensteten des Datenschutzamtes durchgeführt, gegebenenfalls unter Beteiligung von Mitgliedern oder Bediensteten der Aufsichtsbehörden anderer Mitgliedstaaten der Europäischen Union.	Aufsichtsbehörde		unabhängige Verwaltungsbehörde	
Wer während der Zeit, in der die Fahrzeugpapiere abgenommen sind, widerrechtlich mit dem von der Abnahme betroffenen Fahrzeug fährt, oder wer trotz Führerscheinabnahme weiterhin fährt, muss eine verwaltungsrechtliche Geldbuße zwischen 2.004 und 8.017 Euro zahlen.	Führerscheinabnahme		Nebenstrafe,zusätzliche Verwaltungsstrafe	
Die Allgemeinverbindlicherklärung nach § 5 TVG Tarifvertragsgesetz ist ein Rechtsetzungsakt eigener Art zwischen autonomer Regelung und staatlicher Rechtsetzung .	Rechtsetzungsakt	Errichtung,G,Geschäftsordnung,Gesellschaftsgründung,Gesellschaftsvertrag,Gesetz,Gründung,Rechtsverordnung,Satzung,Statut,Verfassung,Verordnung,formelles Gesetz	Rechtshandlung,juristische Handlung	
Im Haushalt ist auf der Ausgabenseite ein Reservefonds vorgesehen, der nicht mehr als fünf Prozent der ordentlichen Finanzausstattung ausmachen darf.	Reservefonds	Reservefonds für Pflichtausgaben,Reservefonds für unvorhergesehene Ausgaben		
"Die logisch-systematische Auslegung ergebe, daß sich die Verpflichtung zur Beachtung des Grundsatzes der Beitragssatzstabilität wie ein ""roter Faden"" durch das Gesetz ziehe."	logisch-systematische Auslegung,logisch-systematische Interpretation	logische Interpretation,systematische Auslegung,systematische Interpretation		
Wenn zu Lasten des Angeklagten oder der Körperschaft für denselben Tatbestand von der Datenschutzbehörde eine verwaltungsrechtliche Geldbuße  verhängt und auch eingehoben wurde, wird die Gerichtsstrafe reduziert.	verwaltungsrechtliche Geldbuße		Verwaltungsstrafe	Nebenstrafe,zusätzliche Verwaltungsstrafe
Wer ein Motorfahrzeug fährt, bedarf des Führerausweises, wer Lernfahrten unternimmt, des Lernfahrausweises.	Führerausweis	ausländischer Führerausweis,internationaler Führerausweis,internationaler Führerschein,militärischer Führerausweis		
Ab der am 1. Jänner 2009 laufenden Steuerperiode sind die öffentlichen Betriebe für Pflege- und Betreuungsdienste (ÖBPB) von der Bezahlung der IRAP befreit, unter Beibehaltung der Pflicht der Einreichung der IRAP-Erklärung.	IRAP,regionale Steuer auf produktive Tätigkeiten,regionale Wertschöpfungssteuer		direkte Steuer	
"Die wirtschaftliche Unterstützung an Unternehmen von Seiten des Amtes für Innovation, Forschung und Entwicklung ist durch folgende LANDESGESETZE (LG) geregelt : - Landesgesetz 14/2006 ""Forschung und Innovation"" - Landesgesetz 4/1997 ""Maßnahmen des Landes Südtirol zur Förderung der gewerblichen Wirtschaft""."	LG,Landesgesetz		G,Gesetz	Regionalgesetz,Staatsgesetz
Ein Staatsgesetz regelt Formen der Koordinierung zwischen Staat und Regionen auf den Sachgebieten laut Artikel 117 Absatz 2 Buchstabe b) und h) sowie außerdem Formen der Vereinbarung und der Koordinierung auf dem Sachgebiet des Kulturgüterschutzes.	Staatsgesetz		G,Gesetz	LG,Landesgesetz,Regionalgesetz
Die Anspruchsberechtigten, welche einen Beitrag für die Erbringung von Schienengüterverkehrsleistungen beantragt haben, sind verpflichtet, ihren Endkunden, die den Eisenbahngüterbeförderungsdienst in Anspruch nehmen, eine Tarifreduzierung im Ausmaß des zu erhaltenden Beitrages zu gewähren.	Beitrag,Zuschuss,finanzieller Beitrag	Beitrag auf Anlagegüter,Beitrag zur Gewinn- und Verlustrechnung,Betriebsbeitrag,Betriebszuschuss,Investitionsbeitrag,Kapitalbeitrag,Kapitalbeitrag für Investitionen,Schenkungsbeitrag,Verlustbeitrag,Zinsbeitrag,Zinszuschuss,einmaliger Beitrag		
Wer freiwillige Beiträge oder Pflichtbeiträge eingezahlt hat und einen Zuschuss  beantragen möchte, muss einen eigenen Antrag bis zum 31. Oktober des Jahres einreichen, das auf das betreffende Beitragsjahr folgt.	Beitrag,Zuschuss,finanzieller Beitrag	Beitrag auf Anlagegüter,Beitrag zur Gewinn- und Verlustrechnung,Betriebsbeitrag,Betriebszuschuss,Investitionsbeitrag,Kapitalbeitrag,Kapitalbeitrag für Investitionen,Schenkungsbeitrag,Verlustbeitrag,Zinsbeitrag,Zinszuschuss,einmaliger Beitrag		
Das typische Ziel eines Verwaltungsverfahrens ist die Erledigung durch Erlassung eines Bescheides ; der Bescheid ist das zentrale Element des österreichischen Verwaltungsrechts, weil das gesamte Rechtsschutzsystem primär auf ihn ausgerichtet ist.	Bescheid		Maßnahme	Entscheidung des Gerichtes,gerichtliche Entscheidung,gerichtliche Verfügung
Grundsätzlich kann jeder Träger öffentlicher Gewalt zum Erlass von Verwaltungsverfügungen ermächtigt sein.	Verfügung,Verwaltungsverfügung		Massnahme	gerichtliche Verfügung
Wer zur Erfüllung einer Verwaltungsaufgabe sachlich, örtlich und funktionell zuständig ist, ist auch befugt, damit verbundene Verwaltungsrechtsverhältnisse durch Verfügung zu regeln.	Verfügung,Verwaltungsverfügung		Massnahme	gerichtliche Verfügung
Die Bestimmungen des ersten Abschnittes sowie die Artikel 34-43 der Verordnung vom 31. Oktober 1947 über die Alters- und Hinterlassenenversicherung (AHVV) finden sinngemäss Anwendung. Die besonderen Vorschriften über die freiwillige Versicherung für Auslandschweizer bleiben vorbehalten.	Art.,Artikel	Abs.,Absatz		
Das Rechnungsprüferkollegium hat das Recht auf Zugang zu Unterlagen und Dokumenten des Landes, um die Ausübung der ihm übertragenen Aufgaben zu gewährleisten.	Recht auf Zugang,Zugangsrecht	Recht auf Zugang zu den Verwaltungsunterlagen,Zugangsrecht zu den Verwaltungsunterlagen		
Handelt es sich um das Verfahren betreffende Akten, wird, sofern diese durchführbar und wirksam sind, das Zugangsrecht auch während des Verfahrens gegenüber der Organisationseinheit ausgeübt, die zuständig ist, den abschließenden Akt zu erlassen oder ständig aufzubewahren.	Recht auf Zugang,Zugangsrecht	Recht auf Zugang zu den Verwaltungsunterlagen,Zugangsrecht zu den Verwaltungsunterlagen		
Der Grundsatz der Transparenz bedeutet nämlich, den Bürgern die Möglichkeit zu geben, eine demokratische Kontrolle über die Ausübung der Verwaltungstätigkeit, ihre Korrektheit und Unparteilichkeit sowie ihre Übereinstimmung mit den gesellschaftlichen Interessen und den verfassungsmäßigen Grundsätzen auszuüben.	Grundsatz der Transparenz			Grundsatz der Wirtschaftlichkeit,Grundsatz der Öffentlichkeit,Öffentlichkeitsgrundsatz
Die monokratisch strukturierte Behörde ist derzeit in der Praxis die Regel.	monokratisch organisierte Behörde,monokratisch strukturierte Behörde		Organ	Kollegialbehörde,Kollegialorgan
Bei Streitigkeiten über Wahlhandlungen  ist ein außerordentlicher Rekurs an den Präsidenten der Republik nicht zulässig.	außerordentliche Beschwerde an das Staatsoberhaupt,außerordentlicher Rekurs an den Präsidenten der Republik		Verwaltungsbeschwerde,Verwaltungsrekurs	Aufsichtsbeschwerde,Rekurs zur Erhebung eines Widerspruchs,hierarchischer Rekurs
Für den Rekurs zur Erhebung eines Widerspruchs ist die Einzahlung des Einheitsbeitrags für die Eintragung des Rechtsstreits in das Register  erforderlich.	Rekurs zur Erhebung eines Widerspruchs		Verwaltungsbeschwerde,Verwaltungsrekurs	Aufsichtsbeschwerde,außerordentliche Beschwerde an das Staatsoberhaupt,außerordentlicher Rekurs an den Präsidenten der Republik,hierarchischer Rekurs
Bevor gegen einen Verwaltungsakt von Finanzbehörden vor dem Finanzgericht geklagt werden kann, muss das sog. Vorverfahren durchlaufen werden. Darunter versteht man die nochmalige Überprüfung einer Entscheidung durch die Behörde, die durch den Einspruch vom Steuerpflichtigen herbeigeführt wird.	Einspruch,Widerspruch			Aufsichtsbeschwerde
Die Erhebung der Anfechtungsklage gegen einen Verwaltungsakt  setzt  voraus, dass vor Anrufung des Verwaltungsgerichts Rechtsmäßigkeit und Zweckmäßigkeit des Verwaltungsaktes in einem Vorverfahren auf Grund Widerspruchs des Klageberechtigten nachgeprüft worden sind.	Einspruch,Widerspruch			Aufsichtsbeschwerde
Die fehlende devolutive Wirkung der Einsprache ist das Hauptunterscheidungskriterium zur Beschwerde.	Einsprache		Verwaltungsbeschwerde	Aufsichtsanzeige,Aufsichtsbeschwerde
Gehört zu den zur Erbfolge Berufenen eine empfangene Person, so kann die Teilung nicht vor deren Geburt stattfinden.	Empfangener,Gezeugter,bereits empfangener Ungeborener,bereits gezeugtes ungeborenes Kind,empfangene Person		Ungeborener,ungeborenes Kind	
Wird ein bereits Empfangener berufen, steht die Verwaltung dem Vater oder bei dessen Fehlen der Mutter zu.	Empfangener,Gezeugter,bereits empfangener Ungeborener,bereits gezeugtes ungeborenes Kind,empfangene Person		Ungeborener,ungeborenes Kind	
Ein Dritter, dessen Samen für eine medizinische unterstützte Fortpflanzung verwendet wird, kann nicht als Vater des mit seinem Samen gezeugten Kindes festgestellt werden .	gezeugtes Kind		Leibesfrucht,Nasciturus,Ungeborener,Ungeborner,ungebornes Kind	
Der Instruktionsrichter kann verfügen, daß anstelle der Urschrift eine Abschrift, gegebenenfalls auch in Form einer Fotokopie, oder beglaubigter Auszug der Urkunde vorgelegt wird.	Urschrift,Urschrift der Urkunde	nicht einmaliges Original		
Die Ausbildung zum staatlich geprüften Agrarbetriebswirt im Garten- und Landschaftsbau oder in den Sparten Friedhofsgärtnerei, Baumschule, Gemüsebau und Zierpflanzenbau, erfolgt in der zweijährigen Fachschule.	Agrarbetriebswirt			Agrarwissenschaftler
Zur Erweiterung des Angebots in Lehre und Forschung kann die Universität auf inter-nationaler, staatlicher und regionaler Ebene Abkommen mit anderen Universitäten, Forschungseinrichtungen, Kunstakademien, der Nationalen Akademie für Schauspielkunst, den Hochschulen für angewandte Kunst und Industriedesign  abschließen.	Akademie der bildenden Künste,Kunstakademie		Höhere Kunst- und Musikausbildung,höhere künstlerische und musikalische Bildung	
In der Schweiz ist das Bildungswesen vom Eintritt in die obligatorische Schule bis zur Tertiärstufe (Hochschulen und höhere Berufsbildung) eine Staatsaufgabe. Die Verantwortung für das Bildungswesen obliegt in erster Linie den 26 Kantonen.	obligatorische Schule		Schulpflicht	
Die Förderungen können wie folgt gewährt werden: a) in Form eines Verlustbeitrags , b) in Form eines begünstigten Darlehens oder einer begünstigten Leasingfinanzierung aus dem Rotationsfonds .	Schenkungsbeitrag,Verlustbeitrag,einmaliger Beitrag	Beitrag auf Anlagegüter,Investitionsbeitrag,Kapitalbeitrag,Kapitalbeitrag für Investitionen	Beitrag,Zuschuss,finanzieller Beitrag	
Eine Notsituation liegt auch dann vor, wenn Asbest an bestehenden Wohngebäuden im Eigentum von Privatpersonen, Betriebsgebäude ausgenommen, vorhanden ist. Für den Abbau und die Entsorgung von Asbest wird ein Schenkungsbeitrag gewährt.	Schenkungsbeitrag,Verlustbeitrag,einmaliger Beitrag	Beitrag auf Anlagegüter,Investitionsbeitrag,Kapitalbeitrag,Kapitalbeitrag für Investitionen	Beitrag,Zuschuss,finanzieller Beitrag	
Die Arbeiter  können den Arbeitgeber über die Gewerkschaftsorganisationen zum Einbehalt der Gewerkschaftsbeiträge bevollmächtigen. Der Arbeitgeber überweist monatlich die entsprechenden Beträge an die einzelnen Gewerkschaftsvertretungen, vorausgesetzt, es wird deren Bankkontonummer angegeben.	Gewerkschaftsvertretung	EGV,betriebliche Gewerkschaftsvertretung,einheitliche Gewerkschaftsvertretung		
Der rechtfertigende Grund für diese Rechtsinstitute Organleihe und Auftrag liegt in der Effektivität und der Ökonomie der Verwaltung.	Effektivität			Effizienz,Offenkundigkeit,Publizität,Werbung,Wirtschaftlichkeit,Zügigkeit
Muß die Maßnahme dagegen vorher auf ihre Gesetzmäßigkeit geprüft werden, fällt der Abschluß mit der Übermittlung der erlassenen Maßnahme an das Kontrollorgan zusammen, da die Phase der Ergänzung der Wirksamkeit nicht von der Landesverwaltung abhängt.	Phase der Ergänzung der Wirksamkeit,Phase zur Vervollständigung der Wirksamkeit,Vervollständigungsphase der Rechtswirksamkeit			Beschlussphase,Entscheidungsphase,Entscheidungsvorbereitung,Ermittlungsphase,Ermittlungsverfahren,Gestaltungsphase,Initiativphase,Sachverhaltsermittlung,konstituierende Phase
Diie Frist läuft  bei Antragsverfahren ab dem Datum, an dem die zuständige Verwaltung den Antrag entgegennimmt, und bei Verfahren, die von Amts wegen eingeleitet werden, ab dem Datum der Einleitung.	Antragsverfahren		Verwaltungsverfahren	von Amts wegen eingeleitetes Verfahren
Die rechtskräftigen Urteile, mit denen der Rekurs gegen die stillschweigende Nichterfüllung der Verwaltung angenommen wird, werden dem Rechnungshof durch Datenfernübertragung übermittelt.	stillschweigende Ablehnung,stillschweigende Nichterfüllung		Stillschweigen	stillschweigende Abweisung,stillschweigende Zustimmung
Im Falle des Neubaues erfolgt die Auszahlung der zinsfreien Darlehen aus dem Rotationsfonds, wenn folgende Voraussetzungen gegeben sind:  der Förderungsempfänger und seine Familienangehörigen müssen ihren meldeamtlichen Wohnsitz in die geförderte Wohnung verlegt haben.	geförderte Wohnung		Wohnrecht,Wohnungsrecht	
