context	tgt_term_gold	tgt_term_AT	tgt_term_DE	tgt_term_CH
Als Handwerksunternehmen gilt außerdem ein Unternehmen, das  in Form einer Gesellschaft  gegründet und geführt wird, vorausgesetzt, daß die Mehrheit der Gesellschafter vorwiegend die eigene, auch manuelle Tätigkeit in den Produktionsprozeß einbringt .	Handwerksbetrieb,Handwerksunternehmen	handwerklicher Betrieb	handwerklicher Betrieb	
Handelt es sich um einen Handwerksbetrieb in Form einer Gesellschaft oder Genossenschaft, muß die Mehrheit der Mitglieder  im Besitze der Voraussetzungen gemäß Absatz 2 sein.	Handwerksbetrieb,Handwerksunternehmen	handwerklicher Betrieb	handwerklicher Betrieb	
Der Schiedsvertrag ist bei sonstiger Nichtigkeit schriftlich zu errichten und hat den Gegenstand des Rechtsstreits zu bestimmen.	Schiedsvertrag		Schiedsabrede	
Zwecks Reduzierung des Prämiensatzes für die Versicherung gegen Arbeitsunfälle und Berufskrankheiten  wird  die Einführung seitens der Unternehmen von  technologischen oder organisatorischen Lösungen, die vom INAIL überprüft wurden, berücksichtigt.	Versicherung gegen Arbeitsunfälle und Berufskrankheiten	Unfallversicherung	Unfallversicherung	Unfallversicherung
Das Domizil einer Person befindet sich an dem Ort, an dem sie den Hauptsitz ihrer Geschäfte und Interessen begründet hat.	Domizil	Wohnsitz	Wohnsitz	Wohnsitz
In keinem Fall kann für Nicht-EU-Bürgerinnen und -Bürger und für Staatenlose die Genehmigung über die gesetzlich vorgesehene Aufenthaltsdauer bzw. über die Dauer der Gültigkeit der Aufenthaltsgenehmigung oder des Einreisevisums hinaus gehen.	Staatenloser			staatenlose Person
Die Ehefrau behält außer bei ausdrücklichem Verzicht die italienische Staatsbürgerschaft, auch wenn sie auf Grund ihrer Eheschließung oder auf Grund der Änderung der Staatsbürgerschaft ihres Ehemannes eine fremde Staatsbürgerschaft erwirbt.	Staatsbürgerschaft		Staatsangehörigkeit	Bürgerrecht,Staatsangehörigkeit
Falls der ausländische Rechtsstreit eine Vorfrage zum Gegenstand hat, kann das italienische Gericht das Verfahren aussetzen, wenn es der Ansicht ist, daß die ausländische Verfügung für die italienische Rechtsordnung Wirkungen erzeugen kann.	ausländische Verfügung		ausländische Maßnahme	
Das Kind untersteht der elterlichen Gewalt bis zu seiner Volljährigkeit oder Entlassung aus der elterlichen Gewalt.	elterliche Gewalt	Obsorge	elterliche Sorge	elterliche Sorge
Die Bestimmungen hinsichtlich der Erbfolge der unehelichen Kinder sind anzuwenden, wenn die Abstammung anerkannt oder gerichtlich festgestellt worden ist.	Abstammung			Kindesverhältnis
In Zweifelsfällen erfolgt die Auslegung der Rechtsvorschrift auf Grund des italienischen Wortlautes.	Norm,Rechtsvorschrift,Vorschrift	Rechtsnorm	Rechtsnorm	Rechtsnorm
Das Departement für öffentliche Verwaltung fördert und erarbeitet entsprechend den internationalen Vorgaben, Programmen und Projekten allgemeine Vorschriften und Methoden zur Korruptionsverhütung.	Norm,Rechtsvorschrift,Vorschrift	Rechtsnorm	Rechtsnorm	Rechtsnorm
Schuldverhältnisse entstehen aus Vertrag, aus unerlaubter Handlung oder aus jeder sonstigen Handlung oder Tatsache, die nach der Rechtsordnung solche zu begründen geeignet ist.	unerlaubte Handlung	Delikt	Delikt	
Die Trennung der Ehegatten ist zulässig. Die Trennung kann eine gerichtliche oder einverständliche sein. Das Recht, die gerichtliche Trennung oder die Bestätigung der einverständlichen Trennung zu verlangen, steht ausschließlich den Ehegatten zu.	Ehetrennung,Trennung		Getrenntleben,Trennung von Tisch und Bett	Getrenntleben,Trennung von Tisch und Bett
Die persönlichen Rechtsverhältnisse zwischen Ehegatten werden vom gemeinsamen Heimatrecht geregelt.	persönliche Rechtsverhältnisse		personenrechtliche Beziehungen	personenrechtliche Beziehungen
Die Legitimation durch gerichtliche Verfügung erzeugt dieselben Wirkungen wie die Legitimation durch nachfolgende Eheschließung .	Legitimation durch nachfolgende Eheschließung	Legitimation durch nachfolgende Ehe	Legitimation durch nachfolgende Ehe	
Der Schutz der Minderjährigen wir din jedem Fall durch das Haager Übereinkommen vom 5. Oktober 1961 über die Zuständigkeit der Behörden und das anzuwendende Recht auf dem Gebiet des Schutzes von Minderjährigen  geregelt.	Schutz der Minderjährigen,Schutz von Minderjährigen			Kindesschutz
Für das Personal der Staatspolizei, das militärisch organisierten Einrichtungen untersteht, gelten für die Sprache die Bestimmungen dieses Dekretes in all den Fällen, in denen Handlungen gesetzt werden, die die Tätigkeit der Polizei im allgemeinen betreffen .	Staatspolizei	Bundespolizei	Bundespolizei	
Bei der Zuweisung des Lehrpersonals an die Klassen der Grundschule achtet die Schulführungskraft im Sinne des ganzheitlichen Bildungsansatzes darauf, dass die Anzahl der Lehrpersonen im Klassenrat begrenzt bleibt.	Grundschule	Volksschule		Primarschule
Dem Verteidiger stehen jene Befugnisse und Rechte zu, die das Gesetz dem Angeklagten zuerkennt, sofern sie nicht diesem persönlich vorbehalten sind.	Verteidiger	Strafverteidiger		
Der Amtsverteidiger ist zur Leistung des Rechtsbeistandes verpflichtet und kann nur aus einem berechtigten Grund ersetzt werden.	Amtsverteidiger	Pflichtverteidiger,Verfahrenshilfeverteidiger	Pflichtverteidiger	amtlicher Verteidiger
Das Gericht bestellt den Amtssachverständigen, indem es ihn unter den in eigene Listen eingetragenen oder im betreffenden Fachbereich mit besonderer Fachkenntnis ausgestatteten Person auswählt.	Amtssachverständiger,Sachverständiger			Experte
Der Landesausschuß kann außerdem nach Anhören des  Landesbeirates weitere Fachleute oder Sachverständige hinzuziehen, wenn er dies für die Durchführung der Aufgaben der Betreuungsstelle für unerläßlich erachtet.	Amtssachverständiger,Sachverständiger			Experte
Personen, die ihre Rechte nicht frei ausüben können, können sich nur dann als Zivilpartei einlassen, wenn sie in den Erhebung von Zivilklagen vorgeschriebenen Formen vertreten, ermächtigt oder mit einem Beistand versehen sind.	Zivilpartei	Privatbeteiligter	Adhäsionskläger	Zivilkläger
Ruht die Funktion des Versicherungsvertreters wegen Unvereinbarkeit , so ist auch für dessen Stellvertreter auf Dauer ein Stellvertreter zu bestellen.	Unvereinbarkeit		Inkompatibilität	
Die Forderungen bezüglich der Abfertigung sowie der Entschädigung gemäß Artikel 2118 werden im Falle der fruchtlosen Vollstreckung auf die beweglichen Sachen hilfsweise mit Vorrang gegenüber den nicht bevorrechtigten Forderungen im Erlös aus den Liegenschaften untergebracht.	Vollstreckung	Exekution		
Das Gericht trifft die notwendigen Anordnungen, um die Vollstreckung der Verfügung zu gewährleisten und auch um die Verwendung des Reisepasses und anderer für die Ausreise gültiger Ausweispapiere zu verhindern.	Reisepass		Pass	Pass
Die dem Angeklagten zustehenden Rechte und Garantien erstrecken sich auf eine Person, die den Vorerhebungen unterworfen ist.	Beschuldigter,Person, die den Vorerhebungen unterworfen ist,Person, gegen die ermittelt wird			Angeschuldigter
Der Haftbefehl ist dem Beschuldigten bei der Verhaftung bekanntzugeben. Ist dies nicht möglich, so ist ihm vorläufig mitzuteilen, welcher Tat er verdächtig ist. Die Bekanntgabe des Haftbefehls ist in diesem Fall unverzüglich nachzuholen.	Anhaltung,Verhaftung	Festnahme	Festnahme	Festnahme
Bei Fehlen von ehelichen oder unehelichen Kindern, von Vorfahren, von Brüdern oder Schwestern fällt dem Ehegatten die gesamte Erbschaft an .	Erbschaft,Verlassenschaft	Nachlass	Nachlass	Nachlass
Das Dekret, mit dem der Kurator der ruhenden Verlassenschaft ernannt wird, ist auf Veranlassung des Kanzleibeamten der ernannten Person innerhalb der im Dekret festgesetzten First zuzustellen.	Erbschaft,Verlassenschaft	Nachlass	Nachlass	Nachlass
Der Pflichtteilsberechtigte, der kraft Eintritts zum Zug kommt, hat auch die ohne ausdrücklichen Erlaß zugunsten seines Vorfahren gemachten Schenkungen und Vermächtnisse anzurechnen .	Pflichtteilsberechtigter	Noterbe		Noterbe,pflichtteilsberechtigter Erbe
