context	tgt_term_gold	tgt_term_homonym
Bei der Auswahl der Objekte, die unter Denkmalschutz gestellt werden, ist die Bewertung in den vom Bundesdenkmalamt geführten bzw. verfassten Denkmalverzeichnissen zu berücksichtigen.	Denkmalschutz	Konservierung
Bei der Berechnung des geschätzten Auftragswertes von Bauaufträgen ist neben dem Auftragswert der Bauleistungen auch der geschätzte Gesamtwert aller für die Ausführung der Bauleistungen erforderlichen Waren und Dienstleistungen einzubeziehen, die dem Unternehmer vom Sektorenauftraggeber zur Verfügung gestellt werden.	Bauleistungen	öffentliche Arbeiten
Bei der Bestimmung der Nebenstrafen und jeder anderen strafrechtlichen Wirkung der Verurteilung sind die einzelnen Straftaten, derentwegen die Verurteilung erfolgt,  zu berücksichtigen.	strafrechtlich	Vertragsstrafe
Bei der Beurteilung der Lärmemissionen sind alle Geräusche in die Betrachtung miteinzubeziehen, die durch die bestimmungsgemässe Nutzung der Anlage verursacht werden	Geräusch	Lärm
Bei der Einfahrt in einen  Kreisverkehr ist die Benutzung des Fahrtrichtungsanzeigers unzulässig. Innerhalb des Kreisverkehrs ist das Halten auf der Fahrbahn verboten.	Halten	Haltestelle
Bei der Erbfolge nach dem Wahlkind in der zweiten Parentel genießen jedoch die Wahlentern und deren Nachkommen den Vorrang vor den leiblichen Eltern und deren Nachkommen, wobei auch Eintrittsrecht und Anwachsung nach allgemeinen Grundsätzen gelten.	Erbfolge	Rechtsnachfolge
Bei der Hand- und Armschutzausrüstung wird  das übermäßige Schwitzen (40,3 %), das Entstehen von Allergien und Ekzemen (29,4 %), Händejucken (31,9 %), sowie drückende Nähte (27,7 %) als Problembereich identifiziert .	Armschutzausrüstung	Schutz der Arme
Bei der Kontrolle des Alkoholisierungsgrades von Kfz-LenkerInnen kommt derzeit vor allem die AAK-Messung zur Anwendung. Zur Erfassung der AAK ist in Österreich gesetzlich der Alkomat  vorgesehen.	AAK	BAK,Blutalkoholgehalt,Blutalkoholkonzentration
"Bei der Strafbemessung wertete das Schöffengericht als erschwerend beim Erstangeklagten die Wiederholung der Erpressungsversuche, das Zusammentreffen ""dreier"" (gemeint wohl: zweier) Verbrechen sowie den Umstand, daß er Rädelsführer gewesen ist ."	Rädelsführer	Abschnitt
Bei der Verschmelzung durch Aufnahme überträgt ein Rechträger im Wege der Gesamtrechtsnachfolge sein Vermögen als Ganzes auf einen bestehenden anderen Rechtsträger.	Aufnahme	Verbindung
Bei der Vormundschaft über Minderjährige ist dem Kindesschutz und dem weitrei-chenden Gedanken des Kindeswohls besondere Beachtung zu schenken.	Vormundschaft über Minderjährige	Schutz von Minderjährigen
Bei der Übermittlung quantitativer Informationen haben sich die Unternehmen gegenüber der Bundesanstalt durch eine Kennziffer für die juristische Person zu identifizieren.	Kennziffer	Benutzerkennung,Kennung
Bei der übernehmenden Gesellschaft ist regelmäßig eine Kapitalerhöhung erforderlich, um den Aktionären der übertragenden Gesellschaften Aktien als Abfindung gewähren zu können.	übernehmende Gesellschaft	neuer Rechtsträger
Bei einer Fusion in der Form einer Absorption verliert die absorbierte Gesellschaft ihre Rechtspersönlichkeit im Zeitpunkt der Eintragung der Fusionsbeschlüsse in das Handelsregister, obwohl ihre formelle Registerlöschung aus Gründen des Gläubigerschutzes erst später erfolgt.	Absorption	Akzession
Bei einer Verarbeitung im Rahmen eines Dienstverhältnisses oder Werkvertrages behält der Dienstgeber bzw Werkbesteller das Alleineigentum an der von ihm zur Bearbeitung beigestellten Sache .	Verarbeitung	Konzentration
Bei in Konzession vergebenen Straßen und Autobahnen werden die Eigentümerbefugnisse, nach einer entsprechenden Mitteilung an den Eigentümer, vom Konzessionsinhaber ausgeübt.	Konzessionsinhaber	Vertragshändler
Bei kleinen Mannlöchern ist eine Rettung kaum möglich, daher sind Mindestgrößen der Zugangsöffnungen unbedingt einzuhalten.	Zugangsöffnung	Zufahrt,Zugang,Zutritt,Zutrittsrecht
Bei rechtsgeschäftlichen Handlungen spricht man von Geschäftsfähigkeit bzw. Vertragsfähigkeit, bei unerlaubten Handlungen von Deliktsfähigkeit.	unerlaubt	Unrecht,rechtswidriges Verhalten
Bei Ämtern mit nur einem Kanzleibeamten wird diesem das den Vorwurf enthaltende Schriftstück direkt vom Leiter des Amtes mitgeteilt.	Vorwurf	Anschuldigung
Beim Erlöschen der Schuldverhältnisse ist zu unterscheiden, ob das Schuldverhältnis als ganzes, also mit allen Rechten und Pflichten, oder ob nur eine einzelne Pflicht erlischt.	Erlöschen	Aussterben
Beim Erwerb des Eigentums an einer beweglichen Sache wird der gute Glaube des Erwerbers an das Eigentum des besitzenden Veräußerers geschützt .	guter Glaube	Treu und Glauben
Beim Obergericht können mit Beschwerde in Verwaltungssachen grundsätzlich nur Rechtsverletzungen  sowie die unrichtige oder unvollständige Feststellung des Sachverhaltes gerügt werden .	Beschwerde in Verwaltungssachen	Beschwerde in Strafsachen,Beschwerde in Zivilsachen
Beim Überqueren von Eisenbahn- oder Straßenbahnlinien muss der Fahrer den Schienenfahrzeugen Vorfahrt geben, sofern nichts anderes angezeigt ist.	Vorfahrt	Vorrang,Vorzug
Beschränkt sich die jeweilige Ausübung einer Grunddienstbarkeit auf einen Teil des belasteten Grundstücks, so kann der Eigentümer die Verlegung der Ausübung auf eine andere, für den Berechtigten ebenso geeignete Stelle verlangen .	Grunddienstbarkeit	Dienstbarkeit
Besonderes Zubehör/besondere Zusatzausstattung für Beinschutz für Arbeiten mit handgeführten Kettensägen wird derzeit nicht angeboten.	Beinschutz	Schutz der Beine
Bestandteile einer Sache, die voneinander nicht getrennt werden können, ohne dass der eine oder der andere zerstört oder in seinem Wesen verändert wird (wesentliche Bestandteile), können nicht Gegenstand besonderer Rechte sein.	Sache	Gut,Leasing-Objekt,Leasingobjekt
Bestehen mehrere Fonds, so bestimmt das BPV den jeweils zu leistenden Mindestbetrag.	Fonds	Grundstück
Besteht an der Sache ein Fruchtgenußrecht, führt die Separation zum Eigentumserwerb des Fruchtnießers.	Separation	Trennung
Besteht der Verdacht oder die Kenntnis über einen bundesländerübergreifenden Ausbruch einer Erkrankung , so haben die Landeshauptmänner der betroffenen Bundesländer zusammenzuarbeiten und ihre Tätigkeiten zu koordinieren.	Ausbruch	Ausbruchsgebiet
Besteht der Vorstand aus mehreren Personen, so erfolgt die Beschlußfassung nach den für die Beschlüsse der Mitglieder des Vereins geltenden Vorschriften der §§ 32, 34.	Mitglied	Stiller,still Beteiligter,stiller Gesellschafter
Besteht zwischen Minderjährigen, die derselben Vormundschaft unterstehen, ein Interessenwiderstreit, so bestellt das Vormundschaftsgericht den Minderjährigen einen Spezialkurator.	Spezialkurator	Prozesskurator
Bestimmen die Ehegatten keinen Ehenamen, so führen sie ihren zur Zeit der Eheschließung geführten Namen auch nach der Eheschließung .	Eheschließung	Ehe
Betriebsvereinbarungen gelten unmittelbar und zwingend. Werden Arbeitnehmern durch die Betriebsvereinbarung Rechte eingeräumt, so ist ein Verzicht auf sie nur mit Zustimmung des Betriebsrats zulässig. Die Verwirkung dieser Rechte ist ausgeschlossen.	Verwirkung	Rücknahme,Verfall
Biozid-Produkte, die als sehr giftig, giftig, oder als krebserzeugend, erbgutverändernd oder fortpflanzungsgefährdend  einzustufen sind, dürfen nur für das Inverkehrbringen für und zur Verwendung durch berufsmäßige Verbraucher zugelassen werden.	erbgutverändernd	erbgutverändernder Arbeitsstoff
Bis zur Anerkennung des Erwerbers durch die Gesellschaft kann dieser weder das mit den Aktien verknüpfte Stimmrecht noch andere mit dem Stimmrecht zusammenhängende Rechte ausüben.	Stimmrecht	Wahlrecht
Bis zur Festlegung der Anträge kann der Instruktionsrichter auf Antrag der Partei die Zahlung der Beträge verfügen, die von den Parteien, die sich in das Verfahren eingelassen haben, nicht bestritten sind.	Instruktionsrichter	Untersuchungsrichter
Bleiben Zweifel oder handelt es sich um Delikte, die für einen bestimmten Berufskreis bedeutsam sind, so trifft den Täter eine Erkundigungspflicht, so bei Geschäftsleuten, die sich über die einschlägigen Vorschriften orientieren .	Erkundigungspflicht	Informationspflicht
Bleibt das Fahrzeug infolge eines technischen Defektes stehen, liegt weder Halten noch Warten vor.	Warten	Festnahme,Freiheitsstrafe,Verhaftung
Da Brände fast immer auf kleine Brandherde zurückzuführen sind, müssen diese möglichst schnell entdeckt, gemeldet und bekämpft werden. Dazu dienen die Feuermelder.	Brandherd	Ausbruch
